poll_choice_id,poll_question_id,html,created
1,1,  Running,2007-10-14 13:20:13 UTC
2,1,  Biking,2007-10-14 13:20:13 UTC
3,1,  Climbing,2007-10-14 13:20:13 UTC
4,1, Chess,2007-10-14 13:20:13 UTC
5,1, Ball Sports ,2007-10-14 13:20:13 UTC
6,1,WoW,2007-10-14 13:20:13 UTC
7,2,    < 3 seconds,2007-10-16 10:21:39 UTC
8,2,   3 - 9 seconds,2007-10-16 10:21:39 UTC
9,2,  10 - 22 seconds,2007-10-16 10:21:39 UTC
10,2, > 45 seconds,2007-10-16 10:21:39 UTC
11,2,I can't do this,2007-10-16 10:21:39 UTC
12,2,  23 - 45 seconds,2007-10-16 11:15:00 UTC
